year_date,year,team,city,player_name,postseason,games_played,minutes_played,points_per_game,def_points_per_game,point_difference,field_goal_made,field_goal_attempted,field_goal_percentage,def_field_goal_percentage,two_points_made,two_points_attempted,two_points_percentage,three_points_made,three_points_attempted,three_points_percentage,def_three_points_percentage,free_throws_made,free_throws_attempted,free_throws_percentage,offensive_rebounds,defensive_rebounds,total_rebounds,offensive_rebounds_percentage,defensive_rebounds_percentage,total_rebounds_percentage,assists,steals,blocks,turnovers,def_turnovers,fouls
2013-02-01T08:00:00.000Z,2013,Nuggets,Denver,"",false,82,0,106.1,0,0,40.7,85.2,47.8,0,34.4,66.6,51.6,6.4,18.5,34.3,0,18.4,26.2,70.1,13.3,31.7,45.1,0,0,0,24.4,9.3,6.5,15.3,0,20.5
2013-02-01T08:00:00.000Z,2013,Rockets,Houston,"",false,82,0,106,0,0,38.1,82.7,46.1,0,27.5,53.8,51.1,10.6,28.9,36.6,0,19.2,25.5,75.4,11.1,32.3,43.4,0,0,0,23.2,8.3,4.4,16.4,0,20.3
2013-02-01T08:00:00.000Z,2013,Thunder,Oklahoma City,"",false,82,0,105.7,0,0,38.1,79.3,48.1,0,30.8,60,51.4,7.3,19.4,37.7,0,22.2,26.8,82.8,10.4,33.2,43.6,0,0,0,21.4,8.3,7.6,15.3,0,20.2
2013-02-01T08:00:00.000Z,2013,Spurs,San Antonio,"",false,82,0,103,0,0,39.1,81.4,48.1,0,31.1,59.9,51.9,8.1,21.5,37.5,0,16.6,21,79.1,8.1,33.2,41.3,0,0,0,25.1,8.5,5.4,14.7,0,17.4
2013-02-01T08:00:00.000Z,2013,Heat,Miami,"",false,82,0,102.9,0,0,38.4,77.4,49.6,0,29.6,55.4,53.6,8.7,22.1,39.6,0,17.4,23,75.4,8.2,30.4,38.6,0,0,0,23,8.7,5.4,14,0,18.7
2013-02-01T08:00:00.000Z,2013,Lakers,Los Angeles,"",false,82,0,102.2,0,0,37.1,81,45.8,0,28.4,56.4,50.3,8.7,24.6,35.5,0,19.3,27.9,69.2,11.5,33.3,44.8,0,0,0,22.2,7,5.2,15,0,17.9
2013-02-01T08:00:00.000Z,2013,Warriors,Oakland,"",false,82,0,101.2,0,0,38.2,83.4,45.8,0,30.1,63.5,47.5,8,19.9,40.3,0,16.8,21.3,79,10.8,34.2,44.9,0,0,0,22.5,6.9,4.2,15.1,0,21.4
2013-02-01T08:00:00.000Z,2013,Mavericks,Dallas,"",false,82,0,101.1,0,0,38.8,84,46.2,0,31.4,64.2,48.9,7.4,19.9,37.2,0,16.1,20.4,79.3,9.4,32.5,41.9,0,0,0,23.2,8,5.5,14,0,20.7
2013-02-01T08:00:00.000Z,2013,Clippers,Los Angeles,"",false,82,0,101.1,0,0,38.5,80.6,47.8,0,30.9,59.2,52.2,7.6,21.4,35.8,0,16.4,23,71.1,11.5,30.2,41.6,0,0,0,23.9,9.6,5.6,14.6,0,20.9
2013-02-01T08:00:00.000Z,2013,Kings,Sacramento,"",false,82,0,100.2,0,0,37.6,84.2,44.7,0,30.2,63.7,47.4,7.4,20.5,36.3,0,17.5,22.8,76.9,11.5,29.1,40.6,0,0,0,20.8,8.2,4.2,14.6,0,20.9
2013-02-01T08:00:00.000Z,2013,Knicks,New York,"",false,82,0,100,0,0,36.5,81.6,44.8,0,25.7,52.7,48.7,10.9,28.9,37.6,0,16,21.1,75.9,10.9,29.7,40.5,0,0,0,19.3,8.2,3.6,12,0,20.1
2013-02-01T08:00:00.000Z,2013,Bucks,Milwaukee,"",false,82,0,98.9,0,0,38.1,87.8,43.5,0,30.8,67.4,45.7,7.3,20.4,36,0,15.3,20.7,73.6,13,30.9,44,0,0,0,22.9,8.4,6.7,14.1,0,19
